node,nature,echeance,description
Lien de GMBI vers Zéro Logement Vacant et DossierFacile,besoin,Besoin 5 juin,Permettre le renvoi vers les pages d’informations propriétaires de Zéro Logement Vacant  et DossierFacile à la fin du parcours déclaratif d’un logement vacant sur GMBI
BatID,acteur_mte,,
Pôles données - DTNUM,acteur_mefsin,,Pôles données de la DTNUM
CL2C,acteur_mefsin,,Bureau maîtrise d'ouvrage du secteur public local 
MAJIC,bdd,,Fichiers des locaux et des parcelles des personnes morales
Identifiant de la parcelle,besoin,Besoin 5 juin,"Obtenir un identifiant de parcelle pour y attribuer des valeurs métiers, avec l'historique"
Réussir le Zéro artificialisation Nette,usage,,Réussir le Zéro artificialisation Nette
DVF,bdd,,Demandes de valeur foncière
GF2C,acteur_mefsin,,Animation et gestion de la CFE/IFER/CVAE
Attribuer BatID aux nouvelles constructions,usage,,Attribuer un identifiant de bâtiment (BatID) aux nouvelles constructions
DLNUF et UX DossierFacile,usage,,Augmenter la confiance et l'expérience utilisateur de DossierFacile grâce au Dites-le nous une fois (DLNUF)
Lien immeuble et local GMBI,besoin,Besoin 5 juin,"Renforcer les liens entre l'immeuble et local dans GMBI, en utilisant BatID dans GMBI"
GF DESF,acteur_mefsin,,Département des études et statistiques fiscales
DVF (Etalab),acteur_tiers,,
Locaux commerciaux vacants,besoin,Autre besoin,"Obtenir une liste des locaux commerciaux et professionnels vacants avec l'identification et les contacts des propriétaires, croisée avec la base des exonérés de la CFE"
Réduire la vacance frictionnelle,usage,,Réduire la vacance frictionnelle des logements
Amélioration de GMBI grâce aux retours de Zéro Logement Vacant,besoin,Besoin 5 juin,Instaurer un cadre d'échange d'indicateurs construits à partir des différences observées entre les données déclarées GMBI et sur l'outil Zéro Logement Vacant
Datafoncier,acteur_mte,,Datafoncier Le Cerema réalise pour le compte de la DGALN/DHUP/AD3 en tant que MOA pour améliorer la qualité
Enrichir le cadastre PCI,usage,,Enrichir le cadastre PCI
Données de contact des propriétaires bâtiments tertiaires,besoin,Autre besoin,Contacter les propriétaires des bâtiments tertiaires assujettis au dispositif Eco Énergie Tertiaire (base de données de contact des propriétaires et/ou permettre à la DGALN de proposer des contenus dans les communications numériques ciblées de la DGFIP)
La transparence du secteur immobilier,polpub,,
Accélerer dispositif Eco-Énergie-Tertiaire,usage,,Accélérer rapidement le dispositif Eco-Énergie-Tertiaire pour atteindre l'objectif de -40% de consommation énergétique en 2030
FILOCOM,bdd,,Fichier des logements par commune
